method,oos_period,model,weight
full_gcsr_eigenvector,20,15,0.039157133712848076
full_gcsr_eigenvector,20,16,0.06477380566966305
full_gcsr_eigenvector,20,22,0.12646634802528106
full_gcsr_eigenvector,20,23,0.08578045356777449
full_gcsr_eigenvector,20,24,0.12129870801558276
full_gcsr_eigenvector,20,37,0.0959246260795986
full_gcsr_eigenvector,20,39,0.05889765519667247
full_gcsr_eigenvector,20,89,0.0
full_gcsr_eigenvector,20,94,0.08385952269238789
full_gcsr_eigenvector,20,95,0.10983579145154092
full_gcsr_eigenvector,20,96,0.21400595558765045
full_gcsr_eigenvector,21,15,7.713353921003612e-18
full_gcsr_eigenvector,21,16,0.08072433728770974
full_gcsr_eigenvector,21,22,0.20659658264226297
full_gcsr_eigenvector,21,23,0.06569960676730692
full_gcsr_eigenvector,21,24,0.09357088494352492
full_gcsr_eigenvector,21,37,0.08106639169622472
full_gcsr_eigenvector,21,39,0.0794997266281785
full_gcsr_eigenvector,21,89,1.6870998956665077e-17
full_gcsr_eigenvector,21,94,0.11092968219702601
full_gcsr_eigenvector,21,95,0.062283697176050326
full_gcsr_eigenvector,21,96,0.21962909066071573
full_gcsr_eigenvector,22,15,3.503791768824134e-18
full_gcsr_eigenvector,22,16,0.08989246797183947
full_gcsr_eigenvector,22,22,0.1639809972967739
full_gcsr_eigenvector,22,23,0.005035781313534349
full_gcsr_eigenvector,22,24,0.10185506427540833
full_gcsr_eigenvector,22,37,0.07439694979444599
full_gcsr_eigenvector,22,39,0.10504535732982782
full_gcsr_eigenvector,22,89,0.0
full_gcsr_eigenvector,22,94,0.1745033777734571
full_gcsr_eigenvector,22,95,0.039423296886671816
full_gcsr_eigenvector,22,96,0.24586670735704122
full_gcsr_eigenvector,23,15,4.3570144977750654e-18
full_gcsr_eigenvector,23,16,0.04524589236273596
full_gcsr_eigenvector,23,22,0.1482625009927316
full_gcsr_eigenvector,23,23,1.9763843374967312e-18
full_gcsr_eigenvector,23,24,0.0811276706944838
full_gcsr_eigenvector,23,37,0.05429386009083525
full_gcsr_eigenvector,23,39,0.10243307206051042
full_gcsr_eigenvector,23,89,2.005935606925429e-18
full_gcsr_eigenvector,23,94,0.3482168178211397
full_gcsr_eigenvector,23,95,0.006175520042900427
full_gcsr_eigenvector,23,96,0.21424466593366273
full_gcsr_eigenvector,24,15,1.5174637869735928e-17
full_gcsr_eigenvector,24,16,0.062241853939270106
full_gcsr_eigenvector,24,22,0.14891880379317018
full_gcsr_eigenvector,24,23,2.6329090062866123e-18
full_gcsr_eigenvector,24,24,0.08470698208931886
full_gcsr_eigenvector,24,37,0.08815799628954482
full_gcsr_eigenvector,24,39,0.17507634644828576
full_gcsr_eigenvector,24,89,0.0
full_gcsr_eigenvector,24,94,0.202776689660984
full_gcsr_eigenvector,24,95,0.0
full_gcsr_eigenvector,24,96,0.23812132777842598
