Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step
rs_selection,0.6566150958537351,0.49000000000000027,0.6527258291688254,38.74029065537037,0.7473245924896316,1.0,True,0
graph_only_eigenvector,0.6624744077531363,0.5806338950029294,0.6412558333698349,39.08599005743504,0.7539933515619405,1.0,True,0
graph_only_softmax,0.7697278372027132,0.7000367128645015,0.6828439240776125,45.41394239496008,0.8760635353920958,1.0,True,0
graph_only_pagerank,0.7737189247360208,0.7048490535516189,0.6970194646578063,45.64941655942523,0.8806059802479235,1.0,True,0
full_gcsr_softmax,0.7807018906451063,0.6714737384385958,0.6486858742595043,46.06141154806127,0.8885536229161005,1.0,True,0
full_gcsr_pagerank,0.7948026578066787,0.7324159479710639,0.6610499154620301,46.89335681059404,0.9046023707127254,1.0,True,0
rs_selection_v2,0.7984072965238808,0.8100000000000006,0.7261130595722602,47.106030494908964,0.9087049799542977,1.0,True,0
full_gcsr_eigenvector,0.8072424936722492,0.8099999999985604,0.6768356557516387,47.6273071266627,0.9187607343074398,1.0,True,0
graph_only_v2_pagerank,0.8373371857261229,0.7809890194645339,0.7291764026052637,49.40289395784125,0.9530129219547856,1.0,True,0
graph_only_v2_eigenvector,0.8479610297574185,0.7749372476357701,0.7369113004810792,50.02970075568769,0.9651044196396483,1.0,True,0
var_error,0.8702630490307806,0.861901770021607,0.7307047548779969,51.34551989281605,0.9904873990600207,1.0,True,0
recent_best,0.8784922372417238,0.8100000000000006,0.7171076999977072,51.8310419972617,0.9998534260750828,1.0,True,0
full_gcsr_v2_softmax,0.8771732866315475,0.8318098056043046,0.7216137265440162,51.7532239112613,0.9983522662121918,0.06,False,6
equal,0.8786210201721654,0.8483138897201354,0.7601114571328805,51.838640190157754,0.9999999999988619,0.06,False,5
full_gcsr_v2_pagerank,0.8913419340502708,0.8298925245327076,0.7099137349868381,52.58917410896598,1.0144782717292586,0.055,False,2
graph_only_v2_softmax,0.8971220464531914,0.8192469395605995,0.7775826722490466,52.93020074073829,1.0210568901212718,0.06,False,4
full_gcsr_v2_eigenvector,0.9118181609107538,0.8692761931501184,0.7363470343299992,53.79727149373448,1.0377832307392847,0.035,False,1
bates_granger_mv,0.9262865576170465,0.8884403244423484,0.7266234627107785,54.65090689940574,1.0542503950502877,0.055,False,3
