Method,Mean_Loss,MCS_pvalue,In_MCS,Elimination_Step
var_error,0.4859053414877977,1.0,True,0
equal,0.4938985521218058,1.0,True,0
graph_only_v2_softmax,0.5093528443858605,1.0,True,0
full_gcsr_softmax,0.525756152806478,1.0,True,0
full_gcsr_pagerank,0.5338656689868316,1.0,True,0
full_gcsr_v2_softmax,0.5375846415387285,1.0,True,0
full_gcsr_eigenvector,0.5379845729415627,1.0,True,0
full_gcsr_v2_pagerank,0.5423915693337097,1.0,True,0
full_gcsr_v2_eigenvector,0.5502598153944016,1.0,True,0
bates_granger_mv,0.557496787524794,1.0,True,0
graph_only_softmax,0.5637043441374555,1.0,True,0
graph_only_pagerank,0.572641036011687,1.0,True,0
graph_only_v2_pagerank,0.5784890008676437,1.0,True,0
graph_only_eigenvector,1.124435681041771,0.0,False,5
graph_only_v2_eigenvector,1.2312728144445892,0.0,False,3
recent_best,1.251078173628842,0.0,False,4
rs_selection_v2,1.5803524253461483,0.0,False,1
rs_selection,1.7285288495764124,0.0,False,2
