Method,Mean_Loss,MCS_pvalue,In_MCS,Elimination_Step
var_error,0.8648515163315191,1.0,True,0
full_gcsr_softmax,1.72161257694696,1.0,True,0
full_gcsr_eigenvector,1.7919876913406052,1.0,True,0
full_gcsr_v2_eigenvector,1.8242239290099056,1.0,True,0
full_gcsr_v2_softmax,1.846924169638286,1.0,True,0
full_gcsr_pagerank,2.165672381987358,1.0,True,0
full_gcsr_v2_pagerank,2.3173455282987,1.0,True,0
graph_only_softmax,2.547031033064665,1.0,True,0
graph_only_v2_softmax,2.5835779488419868,1.0,True,0
graph_only_v2_eigenvector,2.699790573287274,1.0,True,0
graph_only_eigenvector,2.88817229464805,1.0,True,0
rs_selection,3.450158443225109,0.04,False,5
rs_selection_v2,3.4529565753280616,0.04,False,6
recent_best,3.517704992725362,0.04,False,7
graph_only_pagerank,4.141863965816485,0.04,False,4
graph_only_v2_pagerank,4.2418243545893315,0.04,False,3
bates_granger_mv,10.347280987351642,0.03,False,2
equal,10.993749348549441,0.0,False,1
