Method,Mean_Loss,MCS_pvalue,In_MCS,Elimination_Step
equal,0.6551171853150582,1.0,True,0
var_error,0.7184911486460124,1.0,True,0
graph_only_v2_softmax,0.7220715070690061,1.0,True,0
full_gcsr_eigenvector,0.7241774792071467,1.0,True,0
full_gcsr_v2_pagerank,0.7300356898523771,1.0,True,0
full_gcsr_v2_eigenvector,0.7312910891582245,1.0,True,0
full_gcsr_pagerank,0.7313825470890506,1.0,True,0
full_gcsr_softmax,0.7353025013243769,1.0,True,0
graph_only_v2_pagerank,0.740197454848564,1.0,True,0
bates_granger_mv,0.740444326981126,1.0,True,0
full_gcsr_v2_softmax,0.7444527293488348,1.0,True,0
graph_only_pagerank,0.7471937028442708,1.0,True,0
graph_only_softmax,0.7581396835488654,1.0,True,0
graph_only_eigenvector,1.063789361926729,0.0,False,5
graph_only_v2_eigenvector,1.1620186266719266,0.0,False,4
rs_selection,1.3211157784031002,0.0,False,3
rs_selection_v2,1.3334014568035208,0.0,False,2
recent_best,1.3755440679597009,0.0,False,1
