replication,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
1,0.6146820145831644,0.6116519835214672,0.6199765490476017,0.6196361084384385,0.6154116701776912,0.6142300686906046,1.120171758601291,0.906499256147999,0.552624966598078,0.517382039526907,0.9711945553460763,0.6001363139086177,1.1198261929073623,0.9249713746284808,0.6862818450387175,0.6810000603032194,1.0715211441621408,0.6198450535507927
2,0.41514505132634144,0.41184286062417025,0.41871057136938705,0.4174473411889209,0.4165138523525191,0.4172308254386636,0.6462325755129945,0.4185904500404294,0.5113139105680259,0.37056206060488867,0.8855676162233443,0.4228294831875102,1.2301719801842608,0.5668648915393615,0.4057638973717993,0.4046502782353028,0.46713201292625856,0.5629691136342249
3,0.38312591822033454,0.38448070819661845,0.38496734045989645,0.38517178496228965,0.38280637676413787,0.38305635641040614,0.5160317024346275,0.48693403118988554,0.5278299302069501,0.5087282499860435,0.5150085989676596,0.4108888958158165,0.5987214853978848,0.5236565342255721,0.3881749424165808,0.38528397028161965,0.4248649691377483,0.8208973707665346
4,0.38019547213366,0.3767797509722999,0.3760694462970923,0.3754197590659433,0.37660113804990386,0.3741528500239328,0.7090717505491331,0.6023552275198997,0.4533360222672725,0.40634689397656804,0.6454518514321852,0.375464963692742,0.930627105808807,0.616197409358814,0.37644487406887767,0.3763438283617329,0.5402200626957343,0.4836499744346664
5,0.47514549539783274,0.4644894144414731,0.47514910831231627,0.4749272414918394,0.4770238558295475,0.4792020720786239,0.8700316034378106,0.6324833856873384,0.6580800666636765,0.5046565083936648,0.8294005414263037,0.6097251903271571,1.0897052637176157,0.6755920260519683,0.5578161850872013,0.5620674471329261,0.5346103745553205,0.6914062757321151
6,0.228695249522561,0.22974809216336553,0.22967026655134068,0.23073239409297977,0.22800900240443014,0.22960624619207745,0.3586119430971355,0.3729761793525876,0.23151222305835054,0.24168413577134212,0.30978502606763575,0.22015112484446722,0.5796344850202794,0.4184596166791851,0.2362690831692916,0.23623939958951193,0.2513230186862907,0.3801965848410526
7,0.5720159420253031,0.5702726068079176,0.5783063933402821,0.5777029207988996,0.5767208516098664,0.5749566504017192,0.6058149472746162,0.5238356706467194,0.557575810385643,0.5098092307440423,0.6809204701954964,0.4644209871263672,0.8714537812700394,0.5542969273487232,0.6106638011790388,0.6099584420400567,0.5115383034178773,0.7185078855343575
8,0.32674582761910825,0.32626027887943965,0.3251365723513976,0.3248295796478145,0.3231483323413173,0.3214988789891388,0.5187115921218834,0.39932058740150145,0.4136388185869626,0.3620099619919287,0.48020709755405866,0.2967744218159656,0.6648480651415647,0.5224247589620962,0.34298749592768746,0.34644143733683375,0.47906235094881594,0.4690458933084395
9,0.33414313410119995,0.3341892494547828,0.3350932603570053,0.33466748667384544,0.3346915012709394,0.3337254636855756,0.4884005253616336,0.42246468895930905,0.4238794582318016,0.3859080239771582,0.46745753443290095,0.3370017168132022,0.8628863104185069,0.4952265952077524,0.3419772299507331,0.34167868105391513,0.4623180917726119,0.6007704737450849
10,0.4443101702610344,0.4474881184309341,0.44782798146200464,0.44876145671137235,0.4469057170480054,0.4472407995158461,0.6594710926012346,0.7332023668592962,0.472613985046299,0.4899294844742985,0.6508658947284516,0.4884196077016793,0.9204983897941102,0.5544174228867101,0.4585908729261752,0.4581386100438624,0.598899854582444,0.5853876058098408
11,0.29803806005805894,0.30442750294895776,0.29806339131127846,0.29888852634704355,0.2961648714702778,0.29480382258180376,0.4193189350522117,0.3646610133604477,0.4001668895639491,0.35281971753903724,0.666077482404885,0.24413305641933486,0.9055630607218528,0.391712709453481,0.31770903248224724,0.31736512840184844,0.4256125675256111,0.6137027021931116
12,0.3270938063595583,0.32503737479929345,0.325035237767734,0.3243315426530375,0.3234485334642813,0.3217885116698978,0.6683017192839796,0.4444040363760854,0.5230928808487835,0.40878589704757395,0.7068386782606035,0.3186971100951526,0.7896377194581011,0.5071914605802771,0.3345181510474965,0.3325690335943224,0.45990105906559475,0.63352472350573
13,0.3167420877495319,0.31611819761456844,0.3198321901983181,0.3195728392249856,0.3199963652733256,0.31996212635232996,0.7383354611677295,0.5763502103767988,0.3653480051767331,0.33773867455737283,0.6654894085339963,0.3287000071149349,0.7508960177575057,0.6261032747026642,0.35200267721044753,0.3500806702957441,0.4370787229633404,0.4674534801380107
14,0.44788065657271,0.4379135360680708,0.44651688371572473,0.4437408833973279,0.443452070181969,0.4440002518637116,0.8220220004004657,0.5470253856523903,0.5653067708470764,0.45777489013273925,0.6844262439293428,0.438139211405862,1.1433641694366392,0.6679361629630118,0.47533583214858294,0.47278247962265674,0.5223294366083453,0.6998635823243821
15,0.6722073103985231,0.6679902647998911,0.6722867884316444,0.6716564040471936,0.6638636471251268,0.6623342234499067,0.8289907073843329,0.5662408708517792,0.5197209334378969,0.4883488254719015,0.918156819991826,0.4752297585337885,1.034592256018381,0.6132146730079056,0.7690962028477866,0.7698007299596134,0.4215158336121039,0.7170542373854939
16,0.3269041066591321,0.32378007988640584,0.3259260801213299,0.32471729547415457,0.3238408564219096,0.32418143447674147,0.6278899822420492,0.48597248751123345,0.37403788392027987,0.33453068673106584,0.4658232646042571,0.3116688994872832,0.6441268388367013,0.5260986141459932,0.35786365399341064,0.35825302002632564,0.47471698389655786,0.5092959052049468
17,0.3788531657805018,0.37350124142795815,0.37886741256914713,0.37611234082100214,0.37754895818397166,0.37584832536790025,0.8017154816617348,0.49685616580101166,0.44986718778831897,0.37055120417660936,0.4593156710614409,0.3399617113818104,0.8954915839785417,0.5529430460653166,0.3997455190808929,0.3999304269758281,0.6258121089220968,0.45648643093259866
18,0.3661418427019332,0.36301953802415754,0.36729022320172733,0.3662403531755128,0.3668452641844408,0.3632659053291033,0.5448866967686218,0.4248835245652185,0.3963709484575793,0.3552374220583308,0.753735606670546,0.3645977428033906,0.8434647309402062,0.4531212117240015,0.38989025010151485,0.3912481988753365,0.5099962747309498,0.5468346528833399
19,0.40288411893012127,0.40309492956589804,0.40497807572838157,0.4048290301839761,0.40112271071517397,0.4036214465298004,0.8916621617419609,0.4941495866960455,0.43271105692239,0.40402439399078766,0.6888635683702675,0.38942232001408056,1.2299747920099633,0.5787975727657361,0.405791678642599,0.4039768540936016,0.42765892512119386,0.6262057115837665
20,0.3411852574780495,0.33738016228396217,0.34696544140914304,0.3462595825970172,0.3470121522398511,0.3463102313896305,0.7923452817406905,0.5574799744365421,0.46578410472239523,0.3925647006257534,0.7582665176153268,0.33538780712908456,1.4252229081244296,0.7520628693727318,0.3689824146216664,0.3694047614072186,0.45297601185546926,0.5741004852252677
