Method,Mean_MSFE,Median_MSFE,Rel_MSFE_vs_EW,Win_Freq
graph_only_v2_softmax,0.38858751648091233,0.3700313532480663,0.6626875951982958,0.45
full_gcsr_v2_eigenvector,0.40047329454558167,0.375140496200129,0.682181988683723,0.15
full_gcsr_v2_softmax,0.40155082452187063,0.3750005876959165,0.6838640671514191,0.1
full_gcsr_softmax,0.4020563863554344,0.37707504811693776,0.6847711699172965,0.05
full_gcsr_eigenvector,0.40260673439393296,0.37952431895708094,0.6857277976086701,0.05
full_gcsr_v2_pagerank,0.40328224354967973,0.37576604994347274,0.6867414715539315,0.0
full_gcsr_pagerank,0.4038334607001376,0.37746842943311976,0.6876907733603143,0.0
graph_only_v2_pagerank,0.40996965008890074,0.3982945473082705,0.7002016940258801,0.15
var_error,0.4283606728815739,0.3882660845784781,0.7280885783458209,0.0
bates_granger_mv,0.4287952819656374,0.38903259625904785,0.7286871180433339,0.0
graph_only_pagerank,0.4647405926649231,0.45956006349483386,0.7925296471087466,0.0
recent_best,0.5049544053593251,0.4709244984114082,0.8774720594525686,0.05
graph_only_v2_eigenvector,0.522834254971626,0.49550287624852857,0.9078119471902975,0.0
rs_selection_v2,0.5760644575834891,0.5543571751177166,1.0020303114110696,0.0
equal,0.5888599071366878,0.5930790397774628,0.9999999999982432,0.0
graph_only_softmax,0.6601426223908302,0.6734989763001906,1.12903830735299,0.0
graph_only_eigenvector,0.6814008959218067,0.6638864059426071,1.1788922068802017,0.0
rs_selection,0.9265353568471377,0.9005273223501973,1.6002741424115836,0.0
