Method,Mean_MSFE,Median_MSFE,Rel_MSFE_vs_EW,Win_Freq
equal,0.6754368525757309,0.6253877036825473,0.9999999999982935,0.9
full_gcsr_softmax,0.7222934293993776,0.6757948431999743,1.0742924571776495,0.0
full_gcsr_pagerank,0.722625122267427,0.6748821010989711,1.0750429245193878,0.0
full_gcsr_v2_softmax,0.7226330642947152,0.6763637637662512,1.0746719300410157,0.0
full_gcsr_v2_pagerank,0.7226756279066425,0.6764611487932125,1.075150515139528,0.0
full_gcsr_eigenvector,0.7249354397868107,0.6776134591213274,1.0791217548254524,0.0
full_gcsr_v2_eigenvector,0.7253744977429695,0.6805218134031834,1.0806126185353233,0.0
graph_only_v2_softmax,0.7290604311680962,0.6924518441463354,1.0839862897017696,0.0
bates_granger_mv,0.7332115859114419,0.6846929107112443,1.0919369731645694,0.05
graph_only_softmax,0.7512983764071169,0.712255182144061,1.1218579748586452,0.0
var_error,0.7532061333138012,0.6797551778499411,1.1180890863500959,0.0
graph_only_pagerank,0.7602889582362256,0.7090002276342557,1.1472417087208662,0.05
graph_only_v2_pagerank,0.7624723021752047,0.7302391451263747,1.150561869996683,0.0
graph_only_eigenvector,1.122914957379074,1.103873791746959,1.7761262386997045,0.0
graph_only_v2_eigenvector,1.2868988536313775,1.226836365769769,2.04228641899985,0.0
rs_selection_v2,1.5267838040563428,1.4884613178713901,2.44648220819631,0.0
recent_best,1.5602800210570942,1.4515761140892502,2.48645960995104,0.0
rs_selection,1.5721672549860657,1.5423251343609654,2.5281179486515537,0.0
