Source,Source_Type,Method,Family,Centrality,Cov_Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step,Rank
simulation_2B,simulation,full_gcsr_pagerank_ewma,full_gcsr,pagerank,ewma,0.8127090243439659,0.4094285143312002,1.0685247679977452,162.54180486879318,0.0459519518001065,1.0,True,0,1
simulation_2B,simulation,full_gcsr_softmax_ewma,full_gcsr,softmax,ewma,0.8133972689491205,0.4221146023329666,1.0659252765626224,162.6794537898241,0.0459908663217562,1.0,True,0,2
simulation_2B,simulation,full_gcsr_eigenvector_ewma,full_gcsr,eigenvector,ewma,0.8144907359298316,0.4224371513725939,1.0676661650128998,162.8981471859663,0.0460526928063744,1.0,True,0,3
simulation_2B,simulation,graph_only_eigenvector,graph_only,eigenvector,not_used,2.4609449043774503,1.0116738184185183,3.559976036121205,492.18898087549,0.1391460144298938,0.0,False,11,4
simulation_2B,simulation,graph_only_softmax,graph_only,softmax,not_used,2.6285339244629573,1.0265138431190637,4.103667033832114,525.7067848925915,0.1486217829306961,0.0,False,12,5
simulation_2B,simulation,graph_only_pagerank,graph_only,pagerank,not_used,5.918306179502667,5.381894122393821,3.858076100112456,1183.6612359005337,0.3346311067707275,0.0,False,9,6
simulation_2B,simulation,full_gcsr_softmax_shrinkage,full_gcsr,softmax,shrinkage,15.996040223395289,15.53888081522803,11.90726981015834,3199.208044679058,0.9044433460442646,0.0,False,5,7
simulation_2B,simulation,full_gcsr_eigenvector_shrinkage,full_gcsr,eigenvector,shrinkage,16.031369565021063,15.460992666577988,11.93580749395796,3206.273913004213,0.9064409271647984,0.0,False,6,8
simulation_2B,simulation,full_gcsr_softmax_rolling,full_gcsr,softmax,rolling,16.051740542875056,15.286889513153422,12.409684950077546,3210.348108575011,0.9075927369324128,0.0,False,8,9
simulation_2B,simulation,full_gcsr_eigenvector_rolling,full_gcsr,eigenvector,rolling,16.11265731360394,15.320442773950854,12.488649907147998,3222.531462720788,0.9110370748547232,0.0,False,10,10
simulation_2B,simulation,full_gcsr_pagerank_shrinkage,full_gcsr,pagerank,shrinkage,16.600827737640806,16.216940863801995,12.236846979300234,3320.165547528162,0.9386390616958163,0.0,False,4,11
simulation_2B,simulation,full_gcsr_pagerank_rolling,full_gcsr,pagerank,rolling,16.620708810096797,15.807385278356051,12.77013801703031,3324.1417620193597,0.939763171378208,0.0,False,7,12
