Source,Source_Type,Method,Family,Centrality,Cov_Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step,Rank
simulation_2C,simulation,graph_only_pagerank,graph_only,pagerank,not_used,0.4856391628203204,0.2761140496960915,0.6238247459872818,97.12783256406408,0.7533557660941452,1.0,True,0,1
simulation_2C,simulation,full_gcsr_pagerank_shrinkage,full_gcsr,pagerank,shrinkage,0.5211299095107287,0.2272734821530985,0.8979710873036071,104.22598190214576,0.8084113726208746,1.0,True,0,2
simulation_2C,simulation,full_gcsr_pagerank_ewma,full_gcsr,pagerank,ewma,0.5211816784755325,0.2214399805372646,0.8566988666310473,104.23633569510652,0.8084916800818981,1.0,True,0,3
simulation_2C,simulation,full_gcsr_eigenvector_shrinkage,full_gcsr,eigenvector,shrinkage,0.5259700803631213,0.2090167084021601,0.9669772468927303,105.19401607262428,0.8159197675356396,1.0,True,0,4
simulation_2C,simulation,full_gcsr_eigenvector_ewma,full_gcsr,eigenvector,ewma,0.5267344766382162,0.2115272949236351,0.9197856831344046,105.34689532764322,0.8171055498726308,1.0,True,0,5
simulation_2C,simulation,full_gcsr_softmax_ewma,full_gcsr,softmax,ewma,0.5338130775953471,0.2084620690298689,1.0090676655799349,106.76261551906944,0.8280863464294093,1.0,True,0,6
simulation_2C,simulation,full_gcsr_softmax_shrinkage,full_gcsr,softmax,shrinkage,0.5354209200782684,0.2279697387236786,1.081202529759714,107.08418401565366,0.8305805386161461,1.0,True,0,7
simulation_2C,simulation,full_gcsr_pagerank_rolling,full_gcsr,pagerank,rolling,0.536697869829271,0.2153946816859134,0.9408602536886674,107.3395739658542,0.8325614279915902,1.0,True,0,8
simulation_2C,simulation,full_gcsr_eigenvector_rolling,full_gcsr,eigenvector,rolling,0.5445420762048013,0.2092273776207748,1.026148464520222,108.90841524096028,0.8447298825888662,1.0,True,0,9
simulation_2C,simulation,full_gcsr_softmax_rolling,full_gcsr,softmax,rolling,0.5551024840212995,0.2168107476502341,1.167782243053613,111.02049680425988,0.8611118894984038,1.0,True,0,10
simulation_2C,simulation,graph_only_eigenvector,graph_only,eigenvector,not_used,0.5790634304253497,0.2200936327346596,1.144045616507808,115.81268608506994,0.8982817030483103,1.0,True,0,11
simulation_2C,simulation,graph_only_softmax,graph_only,softmax,not_used,1.0502562586957154,0.2594967858718641,4.099907634850144,210.05125173914308,1.629227354256066,1.0,True,0,12
