t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
0,-2.262312031073182,-1.5116222059440025,-1.9940675708861484,-2.5899983059889484,-1.2055061903546789,-1.0215132590173548,-1.805834795196732,-2.0397175533895355
1,-1.1646360136836615,-0.8290930666493107,-2.204147886785573,0.10540310631840477,-0.5350042590428266,-2.5421290248232298,0.6683463678171331,-1.2118593927615495
2,-0.6448996634061565,-0.4336648796395291,-0.49094102342721246,-1.0165475691650883,-2.389853544983599,-0.18834555503351003,-0.16260799228572642,0.11677357417250978
3,-1.7059072064447411,0.9577018763271017,-0.1914219754025996,0.40812898212947335,1.6304258792068538,0.022495849883956365,-2.612798452375365,-1.3251980737233016
4,-0.7686371094627985,-1.7452727899544913,-1.0665700194944208,0.09272838225339664,-1.9789123282900662,-3.015188727758849,-2.9169789690268106,-1.0944956231240397
5,-1.3429312660883337,-1.674402566286938,-2.2050533013797344,-1.2206732488847234,0.8170998163150696,-1.8341614367106256,-2.881991179680555,-0.21417827093437003
6,-0.8845574725433012,0.02628398948958649,-1.312554192579773,-1.2905934618861228,1.2311632973138376,1.183712581776866,-0.0570713546307986,-1.0175555999234507
7,0.39253531345252635,1.1639883342239734,1.366855457027486,-2.1134993493947176,-0.12494440691003872,-1.0646581051128394,-1.4665003797691736,-0.5491046609306854
8,-0.9611670984190357,-0.43899434566503037,-1.0956997317682244,-4.124254379608222,-0.85782148442095,-0.8710462453429062,-2.059135268082996,0.025520233826945904
9,-2.6686645187043982,0.10882142652540583,-1.9767841954203016,-2.564406121314221,-0.5577050095557488,-1.3735080952810865,-1.5792867955900618,-0.8367137758917611
10,0.011596592149524687,0.5057707409520987,-2.354446053292511,-0.8256242999426351,1.3153838600398122,-0.13740531952171364,-2.036694872836006,-0.8782844870404456
11,-2.5913716803158975,-1.1504043174446301,-2.950976620228502,-1.7989186754275082,-0.5995647289623786,-3.1231107799184303,-3.266703249766441,-0.6459263653693436
12,-0.9162460251087448,-1.2719988587508482,-3.879086659537585,-0.32119927709693985,-0.8445923213378768,-0.5322248363062854,-1.520067621943289,-0.9915868893710214
13,-0.5227472764012212,0.20415617865454405,-1.3794225997221166,-0.925314728734634,1.7381933528656983,-1.8869154523972285,-2.1480373014487393,-1.366682865810485
14,1.5720493401331164,0.32400080778647017,-1.1468185135544438,0.4422172025948189,1.2123779957268612,-0.07300451368009268,-2.3841710843681163,-1.4659482799953851
15,0.7734617454170499,-2.807715103601217,-0.5529471483577164,-2.5732250754949417,-0.7269813432460273,-0.17908264620365133,-2.054269229464877,-0.3406126743942819
16,-1.1168308017449955,-0.2415699346396301,-2.4451239153811137,-1.474992588639483,0.6844946051755527,-1.973433738686219,-1.8502521049286185,-0.8358022394149743
17,0.6937474213757095,1.5929082346211088,-0.19744689625689427,-0.33080320853501766,0.22754340019519603,-1.3128225971422305,-0.5730811645064305,-0.9232907746447507
18,-0.7438403247152406,0.8416794454198502,0.5133027693693428,-2.1450205276360625,1.5400558214263078,0.024468746017798776,0.13306341425272278,2.0008937553623936
19,0.8764571231146363,-0.8250990978279089,-0.9431178899581746,-5.052013609529873,1.1843069288506938,0.08721840069915121,-2.0460115292969054,-1.6576033365953966
20,-0.2544610939517221,-0.42222624819060944,0.33941567474498835,-1.121862741951043,1.4250370950909066,1.0523081855452223,-1.332362989288679,2.488034106222493
21,2.132650693407466,1.6622074352922667,0.19451515950662313,-1.3652809768170617,0.9106070976143955,-0.7769464712477059,-1.0006719286941683,0.08791824436054929
