t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
0,0.9848796244210631,1.0533749054086614,0.963172688501822,0.9540604585310927,1.1024685032308614,1.0672753247418547,0.9936283653445133,1.0159378028521229
1,0.979978100934974,1.080064242184361,0.9401080530731946,0.9448096182997859,1.1043743590558566,1.061405799261856,0.9704820549417985,1.0299828231339192
2,0.9812702992306549,1.1115669593978812,0.9118183791802036,0.931278960172623,1.0997500494705388,1.049446142822539,0.9206809980686046,1.0495202950668767
3,0.9896427369010657,1.1555678206455289,0.8780497594374899,0.904054312954512,1.097141468059231,1.0506184820374187,0.8860099681751291,1.0586388141046519
4,0.9872309979882898,1.1898063607837803,0.8551392431628327,0.8760474233222282,1.0928641286219578,1.048485721045107,0.8438191527498506,1.0640049430936032
5,0.9755338005687808,1.2221036194353778,0.8305254249248794,0.8426879379081973,1.1114864428720546,1.0512052063077566,0.810977060313898,1.0788314025931258
6,0.968310331737586,1.2273727576788833,0.817750895570631,0.8011280880328896,1.1566746157493677,1.0587978504574704,0.7791663639561558,1.0840829798521263
7,0.9518750636320161,1.2186496989947908,0.8097809159122852,0.7685552201181868,1.1868158218244813,1.068949735320573,0.7637580787283035,1.106691328589629
8,0.9487771218114712,1.2019397100291294,0.8006670633194681,0.7316589346768421,1.2235478726128255,1.0762683728947178,0.7428016738377382,1.1335540933794142
9,0.939753170576238,1.1974344342493393,0.7961813328298769,0.7020292078830994,1.2809771787504898,1.0758328354406417,0.7282442713329573,1.159472540740384
10,0.9249499665951088,1.185659050766843,0.7845259627874074,0.6759339191727691,1.3460637635342476,1.0766323341221844,0.7319382233800359,1.2091375964954145
11,0.9283062724483117,1.1912624069497662,0.7692500439028626,0.6604457722031556,1.41852266632628,1.0577773023694552,0.7391796992562876,1.2452326762580757
12,0.9438865937630929,1.200091718951436,0.7652258329465766,0.6491659512717924,1.4733548133434244,1.0658931544873562,0.7415555484661496,1.2762225555510565
13,0.9670214437626525,1.2335096845029812,0.7606460292034511,0.643428715048228,1.5223895588739997,1.07332913497368,0.7271596560948874,1.3108065857426752
14,1.0039515322115418,1.2629123132731586,0.7539711810749764,0.6258784250284839,1.5520445941181282,1.0750021977068052,0.6991239322875595,1.367323914314114
15,1.049795763511024,1.308528516996225,0.7518175106525595,0.6216349847996551,1.5666164104032072,1.079982760747697,0.6876474181064156,1.4438600518150237
16,1.0904398788442375,1.3374422462152724,0.7289011209083838,0.5926961841108871,1.5713501905120173,1.1000223691400626,0.697640353538955,1.5147880247496301
17,1.1435805330139677,1.3735464574416234,0.7139312596157417,0.5675821083329072,1.5522822297144236,1.11692087181003,0.7088566093769042,1.6087854098567858
18,1.2251356691643134,1.4184697682863803,0.7005273786292417,0.5312599431005414,1.5315577494206114,1.1175743151706223,0.7247787507076097,1.732266914486625
19,1.325968927597627,1.4775841009617323,0.6676250878357223,0.5047384180171341,1.4943008989468514,1.1325655875375509,0.7305476953811072,1.8482527287618888
20,1.4326070972558853,1.5369087591246091,0.6437339511269141,0.47774701168243877,1.4691696402336287,1.1670472844553064,0.7494944903581329,1.960832808397177
21,1.507796108718182,1.5918660608630217,0.622873927205948,0.4516141218080137,1.419230284011356,1.197057119315713,0.7724247389407418,2.0419314220837785
22,1.573308915209979,1.6105330974088525,0.6021210412285428,0.43559118093928256,1.4001926014089345,1.1979817998654074,0.7757164826231745,2.1274741442236875
23,1.6470822971055594,1.5951578104630755,0.5922466097269252,0.42625584302022934,1.3698238526262037,1.2055699248303962,0.778913049486052,2.217175720655643
24,1.7121751820437396,1.5495350723387922,0.582269530606165,0.41378721925318795,1.3810508683004863,1.2136590595667198,0.7913427669788273,2.3459832946999435
25,1.7985931390742742,1.514542327296136,0.565573607030042,0.4098972174894874,1.3911989609067519,1.2297858195007032,0.8070659616378848,2.44042062467667
26,1.8704383801656193,1.454264219865506,0.5513595507157708,0.4102535514237926,1.4053507931481581,1.2410413204554185,0.8202414612371935,2.5728094366614394
27,1.9388650397957932,1.3947147157835795,0.5193635052213702,0.399837532439117,1.436153829486107,1.2569275055703728,0.8503760378753883,2.718281828459045
28,1.9972532960218121,1.317738304494419,0.49577435121053265,0.39381375203017527,1.5112443753580689,1.2751377089537148,0.8933508124417131,2.718281828459045
29,2.0799839489447227,1.250215027348533,0.486297185353678,0.3963128963167143,1.539161629306461,1.3164330087149185,0.9508210816555004,2.718281828459045
30,2.0747366925812027,1.2091441251574886,0.4799547590169898,0.3967805564541928,1.5283361226479508,1.3759716425931108,1.0123441786144827,2.718281828459045
31,2.0570771163287147,1.1776250966473616,0.4749040159495971,0.40502455771597107,1.5232445152463645,1.4404420141955083,1.070952366793276,2.718281828459045
32,2.0268782360827284,1.132112630154702,0.4691227356028003,0.41096548243320313,1.5172821850873472,1.504482857479752,1.1413575712828359,2.718281828459045
33,2.0013516857873426,1.0586981656858307,0.4534921524083743,0.4144224984561258,1.528040416878986,1.5928188986248348,1.1922707558908243,2.718281828459045
34,1.9640177400997967,1.018182310364057,0.433403802065561,0.41505764899572806,1.56267980837699,1.6927882416895705,1.2381141555603081,2.718281828459045
35,1.9371835542169553,0.9825663223050466,0.41662671871001183,0.4147660949330209,1.5634381912701476,1.8598635825489571,1.2876027500344476,2.718281828459045
36,1.904043741247841,0.9548950220449085,0.41138487829640236,0.4125711283813422,1.5264119884579457,2.0784346489816703,1.3202207018873207,2.718281828459045
