Method,1A,2A,2B,2C,4A
bates_granger_mv,1.1200990780349531,1.0922864117996267,2.3150200120365065,0.7286871180433339,1.0919369731645694
equal,0.99999999999723,0.9999999999982581,0.9999999999994422,0.9999999999982432,0.9999999999982935
full_gcsr_eigenvector,1.0966729302212916,1.0676159978687645,1.9351202523355227,0.6857277976086701,1.0791217548254524
full_gcsr_pagerank,1.0883602632520262,1.0667518480925609,1.9825595856509424,0.6876907733603143,1.0750429245193878
full_gcsr_softmax,1.0876612552782026,1.065945773650801,1.9391879800699718,0.6847711699172965,1.0742924571776495
full_gcsr_v2_eigenvector,1.102223350004932,1.0681849372263845,1.9315742041508408,0.682181988683723,1.0806126185353233
full_gcsr_v2_pagerank,1.0902745619484702,1.0667643620059581,1.981810249026114,0.6867414715539315,1.075150515139528
full_gcsr_v2_softmax,1.0875875526099819,1.065394890046155,1.9340724973608119,0.6838640671514191,1.0746719300410157
graph_only_eigenvector,2.303022287453291,1.6999862762703413,1.1437464834844644,1.1788922068802017,1.7761262386997045
graph_only_pagerank,1.216958552200012,1.0797883507548507,0.6016517458605468,0.7925296471087466,1.1472417087208662
graph_only_softmax,1.141638533625794,1.0508778357484274,1.207151780165986,1.12903830735299,1.1218579748586452
graph_only_v2_eigenvector,2.752969123879697,1.9977593054072198,1.1448079022904465,0.9078119471902975,2.04228641899985
graph_only_v2_pagerank,1.2474386288728507,1.086059933978179,0.5942936863446788,0.7002016940258801,1.150561869996683
graph_only_v2_softmax,1.083251838711233,1.0026212635340959,1.1955220561420556,0.6626875951982958,1.0839862897017696
recent_best,3.3419433008961485,2.350775175185464,1.5011514640644408,0.8774720594525686,2.48645960995104
rs_selection,3.543365284372482,2.5340271459091364,1.562842057432018,1.6002741424115836,2.5281179486515537
rs_selection_v2,3.433647892482815,2.4813010570258056,1.5024081403058325,1.0020303114110696,2.44648220819631
var_error,1.1187064596695824,0.9896253662768959,0.2846063206865409,0.7280885783458209,1.1180890863500959
