Source,Source_Type,Method,Family,Centrality,Cov_Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step,Rank
simulation_2B,simulation,full_gcsr_softmax_ewma,full_gcsr,softmax,ewma,0.7462262024673637,0.3197453258585209,1.0740796080492923,111.93393037010455,0.06787731635575481,1.0,True,0,1
simulation_2B,simulation,full_gcsr_eigenvector_ewma,full_gcsr,eigenvector,ewma,0.7497054210769359,0.3158557662610005,1.065076349448087,112.45581316154039,0.06819378878925005,1.0,True,0,2
simulation_2B,simulation,full_gcsr_pagerank_ewma,full_gcsr,pagerank,ewma,0.7668238460523447,0.3187504655504753,1.1577367456300636,115.02357690785169,0.0697508940526757,1.0,True,0,3
simulation_2B,simulation,full_gcsr_softmax_rolling,full_gcsr,softmax,rolling,1.425468171430289,0.5866262146494674,2.2694417286851625,213.82022571454337,0.12966169468092983,1.0,True,0,4
simulation_2B,simulation,full_gcsr_softmax_shrinkage,full_gcsr,softmax,shrinkage,1.4333435897524358,0.6563028223501715,2.2800868796984717,215.00153846286537,0.1303780488629711,1.0,True,0,5
simulation_2B,simulation,full_gcsr_eigenvector_rolling,full_gcsr,eigenvector,rolling,1.4761020886021063,0.6016458568500772,2.294005185352584,221.41531329031594,0.13426739520824796,1.0,True,0,6
simulation_2B,simulation,full_gcsr_eigenvector_shrinkage,full_gcsr,eigenvector,shrinkage,1.5132241927935197,0.7261511679854958,2.3133161543734637,226.98362891902795,0.13764405070715757,1.0,True,0,7
simulation_2B,simulation,full_gcsr_pagerank_shrinkage,full_gcsr,pagerank,shrinkage,1.5882913856481355,0.7066974819162424,2.414326919710343,238.24370784722032,0.1444722210132707,1.0,True,0,8
simulation_2B,simulation,full_gcsr_pagerank_rolling,full_gcsr,pagerank,rolling,1.6067192823129914,0.6151083939882727,2.4800726427855913,241.00789234694872,0.14614843684106626,1.0,True,0,9
simulation_2B,simulation,full_gcsr_pagerank_diagonal,full_gcsr,pagerank,diagonal,2.0807023335836896,1.0969500778299468,2.503834073909868,312.1053500375534,0.18926230420727444,0.07,False,4,10
simulation_2B,simulation,full_gcsr_softmax_diagonal,full_gcsr,softmax,diagonal,2.1188659745227936,0.9082453871671028,3.0237810279078294,317.82989617841906,0.1927336986996493,0.07,False,6,11
simulation_2B,simulation,full_gcsr_eigenvector_diagonal,full_gcsr,eigenvector,diagonal,2.1195136742543648,1.1743534696473321,2.68706303192881,317.9270511381547,0.19279261397150388,0.04,False,2,12
