Family,Centrality,Cov_Method,Method,Mean_Loss,Mean_Rel_MSFE,Median_Rel_MSFE,Mean_Rank,Median_Rank,Mean_MCS_pvalue,MCS_Inclusion_Rate,Sources
full_gcsr,eigenvector,diagonal,full_gcsr_eigenvector_diagonal,0.8501484271657942,0.8692170637360729,1.073570963780872,4.2,1.0,0.808,0.8,5
full_gcsr,softmax,diagonal,full_gcsr_softmax_diagonal,0.8547055828868452,0.8781102725258666,1.0869106377222164,4.8,3.0,0.8140000000000001,0.8,5
full_gcsr,pagerank,diagonal,full_gcsr_pagerank_diagonal,0.8499133893931173,0.881622942479647,1.0841906165875517,5.6,4.0,0.8140000000000001,0.8,5
full_gcsr,pagerank,shrinkage,full_gcsr_pagerank_shrinkage,0.7691076345968944,0.9030337656402627,1.1128807446157878,6.6,7.0,1.0,1.0,5
full_gcsr,softmax,shrinkage,full_gcsr_softmax_shrinkage,0.7407185639916933,0.905577744650618,1.1426739900318301,6.8,6.0,1.0,1.0,5
full_gcsr,softmax,ewma,full_gcsr_softmax_ewma,0.6090298794368559,0.907008733035622,1.0019445814545287,7.2,9.0,1.0,1.0,5
full_gcsr,eigenvector,ewma,full_gcsr_eigenvector_ewma,0.608620682411943,0.9037794750117822,1.0094614568867257,7.4,8.0,1.0,1.0,5
full_gcsr,eigenvector,shrinkage,full_gcsr_eigenvector_shrinkage,0.7571693817215731,0.9072828997578053,1.11382472887964,7.4,7.0,1.0,1.0,5
full_gcsr,pagerank,ewma,full_gcsr_pagerank_ewma,0.6135473585528335,0.9056144652267136,1.0139430854992186,8.2,10.0,1.0,1.0,5
full_gcsr,pagerank,rolling,full_gcsr_pagerank_rolling,0.7890713329095748,0.9325368799701088,1.0906230454601866,8.8,9.0,1.0,1.0,5
full_gcsr,eigenvector,rolling,full_gcsr_eigenvector_rolling,0.7624468989675999,0.9302813286226211,1.1061723461987707,9.0,9.0,1.0,1.0,5
full_gcsr,softmax,rolling,full_gcsr_softmax_rolling,0.7537676355689414,0.9329257440434408,1.1345265226960946,9.0,10.0,1.0,1.0,5
graph_only,pagerank,not_used,graph_only_pagerank,1.2831317695498232,0.9711898841460197,1.1405496903350676,10.0,14.0,0.8,0.8,5
graph_only,softmax,not_used,graph_only_softmax,1.0410626347200658,1.0537957669306004,1.1572581219713565,10.2,12.0,0.8140000000000001,0.8,5
graph_only,eigenvector,not_used,graph_only_eigenvector,1.3867140461004668,1.6669998684919605,1.8071802818855591,14.8,15.0,0.016,0.0,5
