Study_Type,Study,Comparison_Basis,Simulation_Reps,Family,Centrality,Variant,Method,OOS_Periods,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,Median_Rel_MSFE,Std_Rel_MSFE
empirical,inflation,single_backtest,1,full_gcsr,eigenvector,v1,full_gcsr_eigenvector,31,8.116211070091516,0.3074407162698739,17.731684717338375,251.602543172837,0.9495222938385784,0.9495222938385784,0.0
empirical,inflation,single_backtest,1,full_gcsr,eigenvector,v2,full_gcsr_v2_eigenvector,31,8.54208915551008,0.2886517145512693,18.71030268382381,264.80476382081247,0.9993461258052423,0.9993461258052423,0.0
empirical,inflation,single_backtest,1,full_gcsr,pagerank,v1,full_gcsr_pagerank,31,8.19420297582756,0.2911484791284262,18.072968319197255,254.02029225065434,0.9586466318573648,0.9586466318573648,0.0
empirical,inflation,single_backtest,1,full_gcsr,pagerank,v2,full_gcsr_v2_pagerank,31,8.511754699324062,0.27495018140931815,18.731896268232607,263.8643956790459,0.9957972725076445,0.9957972725076445,0.0
empirical,inflation,single_backtest,1,full_gcsr,softmax,v1,full_gcsr_softmax,31,8.048527317843119,0.3044299783708766,17.65661488782185,249.5043468531367,0.9416039152829335,0.9416039152829335,0.0
empirical,inflation,single_backtest,1,full_gcsr,softmax,v2,full_gcsr_v2_softmax,31,8.300558300535437,0.3850817271302602,18.3065214394556,257.31730731659854,0.9710892298882008,0.9710892298882008,0.0
empirical,inflation,single_backtest,1,graph_only,eigenvector,v1,graph_only_eigenvector,31,7.7680296813538705,0.4868144213480079,17.596202311376672,240.80892012196998,0.9087882631374347,0.9087882631374347,0.0
empirical,inflation,single_backtest,1,graph_only,eigenvector,v2,graph_only_v2_eigenvector,31,8.929540988900408,0.6359163492848345,19.2323536770759,276.8157706559127,1.0446744385383164,1.0446744385383164,0.0
empirical,inflation,single_backtest,1,graph_only,pagerank,v1,graph_only_pagerank,31,8.333480124128368,0.4509503736989637,18.07659827993385,258.3378838479794,0.9749407814539928,0.9749407814539928,0.0
empirical,inflation,single_backtest,1,graph_only,pagerank,v2,graph_only_v2_pagerank,31,8.610422505623697,0.48590643364829905,18.59069748380471,266.9230976743346,1.00734050135625,1.00734050135625,0.0
empirical,inflation,single_backtest,1,graph_only,softmax,v1,graph_only_softmax,31,7.66580741382623,0.33451112027828583,17.51362409099033,237.64002982861314,0.896829194908923,0.896829194908923,0.0
empirical,inflation,single_backtest,1,graph_only,softmax,v2,graph_only_v2_softmax,31,8.552653120953632,0.3794025997213822,18.654937914500415,265.1322467495626,1.0005820129221947,1.0005820129221947,0.0
empirical,unemployment,single_backtest,1,full_gcsr,eigenvector,v1,full_gcsr_eigenvector,60,0.7836881440468612,0.7481269435763984,0.6822860674985767,47.02128864281167,0.9023141180273008,0.9023141180273008,0.0
empirical,unemployment,single_backtest,1,full_gcsr,eigenvector,v2,full_gcsr_v2_eigenvector,60,0.8678063132504198,0.8223056662029211,0.7083696231924672,52.06837879502519,0.999165157859341,0.999165157859341,0.0
empirical,unemployment,single_backtest,1,full_gcsr,pagerank,v1,full_gcsr_pagerank,60,0.774411681684376,0.78227666711678,0.6517041084135193,46.464700901062564,0.8916334882147886,0.8916334882147886,0.0
empirical,unemployment,single_backtest,1,full_gcsr,pagerank,v2,full_gcsr_v2_pagerank,60,0.858967334572684,0.8099999999831708,0.6893097305309214,51.53804007436104,0.9889882331343112,0.9889882331343112,0.0
empirical,unemployment,single_backtest,1,full_gcsr,softmax,v1,full_gcsr_softmax,60,0.7697199384195073,0.657437622445074,0.6478133610599467,46.18319630517043,0.8862315611622882,0.8862315611622882,0.0
empirical,unemployment,single_backtest,1,full_gcsr,softmax,v2,full_gcsr_v2_softmax,60,0.8662904889853748,0.8184183658725495,0.735319482326609,51.97742933912249,0.9974198850168355,0.9974198850168355,0.0
empirical,unemployment,single_backtest,1,graph_only,eigenvector,v1,graph_only_eigenvector,60,0.6408914067136997,0.5768901816598255,0.606587140180631,38.453484402821985,0.737902402624033,0.737902402624033,0.0
empirical,unemployment,single_backtest,1,graph_only,eigenvector,v2,graph_only_v2_eigenvector,60,0.8167446961242434,0.7864264292815355,0.7255414078576097,49.004681767454606,0.9403744024137686,0.9403744024137686,0.0
empirical,unemployment,single_backtest,1,graph_only,pagerank,v1,graph_only_pagerank,60,0.754595517941397,0.6385585747657979,0.6843888174096368,45.27573107648382,0.8688177745329424,0.8688177745329424,0.0
empirical,unemployment,single_backtest,1,graph_only,pagerank,v2,graph_only_v2_pagerank,60,0.8190711787910627,0.6692519179506327,0.7190918120030073,49.14427072746376,0.9430530420889547,0.9430530420889547,0.0
empirical,unemployment,single_backtest,1,graph_only,softmax,v1,graph_only_softmax,60,0.7633866754118838,0.7029730835852614,0.6950470302520021,45.80320052471303,0.878939639409524,0.878939639409524,0.0
empirical,unemployment,single_backtest,1,graph_only,softmax,v2,graph_only_v2_softmax,60,0.8697362056497083,0.8083005827778507,0.7637613001421936,52.1841723389825,1.001387175853845,1.001387175853845,0.0
simulation,1A,mc_average_over_20_reps,20,full_gcsr,eigenvector,v1,full_gcsr_eigenvector,150,0.40077446251032456,0.38484933102969054,0.046407060809627115,60.11616937654868,1.0966729302217522,1.0952497013444966,0.03661474807569467
simulation,1A,mc_average_over_20_reps,20,full_gcsr,eigenvector,v2,full_gcsr_v2_eigenvector,150,0.40279048182679655,0.3870005918203006,0.04668021494128654,60.41857227401948,1.1022233500053775,1.0970179848741821,0.036330843868844366
simulation,1A,mc_average_over_20_reps,20,full_gcsr,pagerank,v1,full_gcsr_pagerank,150,0.3977807992865646,0.38215389185784276,0.04656105466963517,59.667119892984694,1.088360263252244,1.0851022047306436,0.03574354201607517
simulation,1A,mc_average_over_20_reps,20,full_gcsr,pagerank,v2,full_gcsr_v2_pagerank,150,0.39847784258221886,0.38278600898321913,0.04667566941263394,59.77167638733283,1.0902745619485585,1.0853307809688226,0.03592449191703568
simulation,1A,mc_average_over_20_reps,20,full_gcsr,softmax,v1,full_gcsr_softmax,150,0.39757028876096806,0.38244659648447316,0.04699802910963099,59.63554331414521,1.0876612552780394,1.0869182163975541,0.03629962155703861
simulation,1A,mc_average_over_20_reps,20,full_gcsr,softmax,v2,full_gcsr_v2_softmax,150,0.3975127764276426,0.38192270005167017,0.046681151426849435,59.62691646414639,1.0875875526095649,1.0864474409767588,0.03554494536951317
simulation,1A,mc_average_over_20_reps,20,graph_only,eigenvector,v1,graph_only_eigenvector,150,0.8364660121457913,0.8226112945209854,0.09649571456410284,125.46990182186869,2.3030222874532913,2.293945338818986,0.27894745852504144
simulation,1A,mc_average_over_20_reps,20,graph_only,eigenvector,v2,graph_only_v2_eigenvector,150,1.0003853121641444,0.9967373445456115,0.09316551928853048,150.05779682462165,2.752969123879697,2.6806299056128577,0.25966571600679833
simulation,1A,mc_average_over_20_reps,20,graph_only,pagerank,v1,graph_only_pagerank,150,0.4441965480138603,0.4380248568939097,0.049788106918800874,66.62948220207905,1.2169585522000121,1.219560415213793,0.06645528382737638
simulation,1A,mc_average_over_20_reps,20,graph_only,pagerank,v2,graph_only_v2_pagerank,150,0.4555246491594409,0.4391923347951001,0.055636538623305,68.32869737391614,1.2474386288728507,1.228033600968256,0.08231345676423056
simulation,1A,mc_average_over_20_reps,20,graph_only,softmax,v1,graph_only_softmax,150,0.417945622985464,0.4123000367156333,0.057113359803426335,62.6918434478196,1.141638533625794,1.1508858894315535,0.06117698002460789
simulation,1A,mc_average_over_20_reps,20,graph_only,softmax,v2,graph_only_v2_softmax,150,0.39644078993065246,0.3898351846192284,0.05384032906308422,59.46611848959787,1.0832518387112335,1.0791714380275228,0.05687665797296475
simulation,2A,mc_average_over_20_reps,20,full_gcsr,eigenvector,v1,full_gcsr_eigenvector,150,0.6360784565667716,0.6092746619390583,0.12951730486254528,95.41176848501574,1.0676159978683206,1.0843505387182462,0.050949202185138105
simulation,2A,mc_average_over_20_reps,20,full_gcsr,eigenvector,v2,full_gcsr_v2_eigenvector,150,0.6363093664591881,0.6080904868970178,0.12903711047417246,95.44640496887821,1.0681849364843718,1.086709385790834,0.051298876020687494
simulation,2A,mc_average_over_20_reps,20,full_gcsr,pagerank,v1,full_gcsr_pagerank,150,0.6356288718636007,0.6091984869987284,0.12933813462246105,95.34433077954012,1.0667518480929101,1.0833547365368998,0.05013954617451822
simulation,2A,mc_average_over_20_reps,20,full_gcsr,pagerank,v2,full_gcsr_v2_pagerank,150,0.6356267587890362,0.6076436525316009,0.1292884758480994,95.34401381835542,1.0667643620061935,1.0853134483967875,0.04998647617301691
simulation,2A,mc_average_over_20_reps,20,full_gcsr,softmax,v1,full_gcsr_softmax,150,0.6351991059236162,0.6091778338536518,0.12936198976458654,95.27986588854243,1.0659457736509563,1.0818814307181281,0.049804569920320715
simulation,2A,mc_average_over_20_reps,20,full_gcsr,softmax,v2,full_gcsr_v2_softmax,150,0.63486324826092,0.6075795900803871,0.12933097682453865,95.229487239138,1.0653948900460157,1.0826801994866504,0.050357270577076375
simulation,2A,mc_average_over_20_reps,20,graph_only,eigenvector,v1,graph_only_eigenvector,150,0.9930428103206657,0.9814814685132562,0.1385011653704248,148.95642154809985,1.6999862762703413,1.7120826676538758,0.26183365602825426
simulation,2A,mc_average_over_20_reps,20,graph_only,eigenvector,v2,graph_only_v2_eigenvector,150,1.1672129192118628,1.140580959057639,0.1545344394663602,175.08193788177942,1.997759305407221,2.015919492618406,0.28258887176841335
simulation,2A,mc_average_over_20_reps,20,graph_only,pagerank,v1,graph_only_pagerank,150,0.6418544366721932,0.6077864745026642,0.1288033334375246,96.27816550082898,1.079788350754851,1.0585039235142135,0.07617030416613144
simulation,2A,mc_average_over_20_reps,20,graph_only,pagerank,v2,graph_only_v2_pagerank,150,0.6461464513853847,0.601484953377694,0.1346404672490069,96.92196770780771,1.086059933978179,1.0912608259611523,0.07682312750214526
simulation,2A,mc_average_over_20_reps,20,graph_only,softmax,v1,graph_only_softmax,150,0.6276906533036661,0.5899370969754973,0.13773222896820694,94.15359799554992,1.0508778357484274,1.0424045112233822,0.06201160570721019
simulation,2A,mc_average_over_20_reps,20,graph_only,softmax,v2,graph_only_v2_softmax,150,0.5992866649071205,0.551793833593583,0.1351576286968817,89.89299973606806,1.0026212635340959,1.0047908615319976,0.06410313364945208
simulation,2B,mc_average_over_20_reps,20,full_gcsr,eigenvector,v1,full_gcsr_eigenvector,150,5.642373184773063,4.7806678036016805,3.511060649911947,846.3559777159594,1.935120252335834,1.4839603383870397,1.6691922717419083
simulation,2B,mc_average_over_20_reps,20,full_gcsr,eigenvector,v2,full_gcsr_v2_eigenvector,150,5.640479920792879,4.7635515293313535,3.512717080191018,846.0719881189319,1.9315742041509012,1.4863742539052551,1.6565308672951078
simulation,2B,mc_average_over_20_reps,20,full_gcsr,pagerank,v1,full_gcsr_pagerank,150,5.770912275424384,4.945191974348878,3.577848181490563,865.6368413136576,1.982559585651137,1.5274586048428027,1.748745720283352
simulation,2B,mc_average_over_20_reps,20,full_gcsr,pagerank,v2,full_gcsr_v2_pagerank,150,5.772851973321131,4.93949001466731,3.5796688751773433,865.9277959981697,1.9818102490277778,1.5281790583458763,1.7437325157328925
simulation,2B,mc_average_over_20_reps,20,full_gcsr,softmax,v1,full_gcsr_softmax,150,5.645692235241649,4.788810838605356,3.5172185843431834,846.8538352862473,1.9391879800707,1.4890836854654648,1.6810287811872253
simulation,2B,mc_average_over_20_reps,20,full_gcsr,softmax,v2,full_gcsr_v2_softmax,150,5.637354543659719,4.774382050396693,3.5182545846632927,845.6031815489579,1.9340724973617474,1.4866446180048152,1.6733980503654529
simulation,2B,mc_average_over_20_reps,20,graph_only,eigenvector,v1,graph_only_eigenvector,150,2.2536699554919393,2.1400102835756325,0.7821497802809539,338.0504933237909,1.1437464834844613,0.5456480638485721,1.2179195242385457
simulation,2B,mc_average_over_20_reps,20,graph_only,eigenvector,v2,graph_only_v2_eigenvector,150,2.1843794759769715,2.0284495615465277,0.8304711413122828,327.6569213965457,1.1448079022904456,0.5410165880845006,1.2828144349741524
